"ID";"year";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
"HRADISTE";1901;88,56;34,01;129,25;53,83;59,42;92,62;115,23;31,1;21,17;59,37;23,72;50,21
"HRADISTE";1902;31,36;30,53;50,08;63,64;56,88;112,61;158,96;109,03;47,24;45,95;49,68;48,59
"HRADISTE";1903;35,58;33,04;61,67;46,48;132,82;138,89;114,32;95,62;60,29;65,62;55,56;45,95
"HRADISTE";1904;62,87;49,2;30,63;106,23;49,53;93,5;189,08;120,9;75,66;89,08;16,07;114,34
"HRADISTE";1905;14,71;69,43;71,89;74,54;71,03;62,78;45,03;47,33;125,67;91,09;91,62;26,81
"HRADISTE";1906;65,71;62,13;64,26;89,99;95,32;53,47;98,35;114,63;66,94;113,33;91,24;62,99
"HRADISTE";1907;45,63;47,05;89,25;49,42;103,6;158,72;211,02;80,34;224,68;40,55;84,32;43,93
"HRADISTE";1908;78,09;32,61;54,29;105,69;63,44;114,98;261,94;112,25;37,05;15,16;50,73;67,57
"HRADISTE";1909;28,81;45,47;33,13;58,81;91,21;61,35;76,77;102,1;66,13;4,03;32,67;56,81
"HRADISTE";1910;24,57;89,97;21,76;33,4;163,82;120,93;251,68;134,14;88,67;49,18;19,19;16,92
"HRADISTE";1911;37,23;36,51;64,7;89,87;188,17;181,57;121,68;156,57;126,03;45,18;35,95;74,93
"HRADISTE";1912;36,9;51,8;33,78;82,42;125,35;73,05;47,61;56,6;51;39,51;103,1;43,67
"HRADISTE";1913;36,64;38,56;60,79;51,3;166,61;140,47;159,82;147,51;154,35;33,83;24,37;63,68
"HRADISTE";1914;24,22;6,29;20,37;23,48;74,88;149,57;140,18;131,08;85,01;40,19;37,75;18,36
"HRADISTE";1915;34,27;6,62;46,66;28,57;127,66;69,51;245,81;71,85;102,45;73,53;83,73;87,41
"HRADISTE";1916;83,34;32,19;90,09;77,32;76,17;110,66;170,3;131,23;82,53;196,41;35,42;34,8
"HRADISTE";1917;45,77;38,97;33,48;96,61;61,18;180,8;177,44;101,75;85,84;45,49;50,38;48,71
"HRADISTE";1918;54,6;16,17;53,08;130,78;35,63;58,86;118,23;102,75;32,93;72,85;45,62;32,87
"HRADISTE";1919;35,94;32,89;25,28;41,04;86,12;85,65;196,36;96,03;54,45;82,21;40,52;36,38
"HRADISTE";1920;37,73;31,64;88,43;105,93;71,84;117,88;178,65;60,62;36,12;99,12;24,3;92,84
"HRADISTE";1921;59,69;21,36;25,84;82,2;125,53;95,36;126,65;174,61;41,81;5,36;54,03;75,02
"HRADISTE";1922;80,67;56,59;12,79;117,54;56,77;109,52;72,18;103,88;46,25;57,07;5,36;33,77
"HRADISTE";1923;30,64;24,61;51,79;49,37;34,25;88,53;89,5;129,84;179,77;120,1;21,38;50,36
"HRADISTE";1924;74,53;52,54;53,43;72,14;29,14;100,95;47,56;47,9;54,13;98,99;35,55;45,87
"HRADISTE";1925;12,19;49,76;22,67;109,7;96,61;80,16;110,14;81,07;52,91;18,97;49,41;88,24
"HRADISTE";1926;17,2;39,4;53,09;63,74;81,35;98,06;154,02;271,8;46,99;47,33;36,97;13,87
